0.1023,0.78202
0.13482,0.7593
0.19309,0.7655
0.23103,0.84814
0.13889,0.90393
0.15379,0.82335
0.16463,0.70971
0.12263,0.68905
0.095528,0.7531
0.15921,0.7655
0.20664,0.83368
0.14566,0.875
0.24458,0.68492
0.19173,0.59814
0.13076,0.71178
0.28252,0.12707
0.35705,0.12087
0.35298,0.2469
0.19851,0.31715
0.2107,0.17459
0.30285,0.10227
0.35569,0.17045
0.28523,0.18079
0.27846,0.1312
0.35434,0.11467
0.40176,0.29442
0.43699,0.32748
0.43564,0.25517
0.43699,0.19112
0.49797,0.14979
0.39499,0.15393
0.35298,0.25723
0.23916,0.29236
0.23916,0.16839
0.38821,0.14773
0.36247,0.19938
0.75542,0.82335
0.76084,0.74897
0.77168,0.61674
0.81369,0.56921
0.89092,0.66012
0.88279,0.80062
0.83808,0.73037
0.82724,0.65186
0.79472,0.57748
0.74051,0.58574
0.70935,0.64979
0.6145,0.76963
0.57791,0.86054
0.78659,0.80888
0.79607,0.69938
0.75407,0.6188
0.69851,0.56715
0.62805,0.42665
0.50745,0.5155
0.69309,0.68492
0.73374,0.83781
0.8435,0.74897
0.84485,0.65393
0.74187,0.60227
0.67954,0.69938
0.65786,0.85847
0.77439,0.8564
0.76897,0.61467
0.19173,0.76756
0.20935,0.85227
0.27168,0.79442
0.15515,0.72417
0.23645,0.2407
0.25813,0.32335
0.30556,0.24897
0.31911,0.1188
0.27168,0.15806
0.3435,0.28822
0.3435,0.29029
